zip,dollars,timestamp,date,city,state,latitude,longitude
00000,500,"",5/14/14,0,0,"",""
00000,200,"",5/4/14,0,0,"",""
00000,200,"",5/6/14,0,0,"",""
00000,180,"",5/10/14,0,0,"",""
00000,150,"",5/6/14,0,0,"",""
00000,100,"",7/4/14,0,0,"",""
00000,100,"",5/8/14,0,0,"",""
00000,100,"",5/11/14,0,0,"",""
00000,100,"",5/13/14,0,0,"",""
00000,100,"",5/13/14,0,0,"",""
00000,100,"",5/15/14,0,0,"",""
00000,99,"",5/9/14,0,0,"",""
00000,50,"",5/9/14,0,0,"",""
00000,50,"",5/9/14,0,0,"",""
00000,50,"",5/22/14,0,0,"",""
00000,32,"",5/11/14,0,0,"",""
00000,25,"",5/6/14,0,0,"",""
00000,20,"",5/6/14,0,0,"",""
00000,10,"",5/5/14,0,0,"",""
00000,10,"",5/6/14,0,0,"",""
00000,10,"",5/13/14,0,0,"",""
00000,5,"",5/9/14,0,0,"",""
60527,1,"",6/6/14,0,0,41.7447,-87.9334
00000,0,"",5/2/14,0,0,"",""
10003,50,"",6/12/14,New York,NY,40.7313,-73.9892
10024,20,"",6/11/14,New York,NY,40.7864,-73.9764
10024,10,"",5/9/14,New York,NY,40.7864,-73.9764
13346,25,"",6/24/14,Hamilton,NY,42.8231,-75.5434
20706,10,"",7/3/14,Lanham,0,38.9675,-76.8551
32038,10,"",7/4/14,Fort White,0,29.9207,-82.6879
48192,20,"",5/6/14,Wyandotte,0,42.2084,-83.1616
75214,25,"",7/4/14,Dallas,0,32.8248,-96.7498
77008,25,"",7/4/14,houston,TX,29.7991,-95.4118
95242,5,"",6/23/14,Lodi,0,38.1308,-121.3345
00092,100,"",5/8/14,  ,0,"",""
00092,100,"",7/4/14,  ,0,"",""
"",10,"",7/3/14,Bear Creek, Wi.,"",""
08000,50,"",7/4/14,rhus C,0,"",""
08000,10,"",7/6/14,rhus C,0,"",""
98102,25,"",7/4/14,Seattle,WA,47.6302,-122.321
"",20,"",6/20/14,9RF,0,"",""
"",25,"",7/4/14,AA,0,"",""
02189,25,"",7/5/14,Abu Dhabi,0,42.2116,-70.9317
"",50,"",5/10/14,ae,0,"",""
"",10,"",7/15/14,AE,0,"",""
45920,40,"",7/4/14,Ajijic Centro,0,"",""
"",25,"",7/5/14,Fairbanks,AK,"",""
"",100,"",5/5/14,Chelsea,AL,"",""
"",50,"",6/30/14,mobile,al,"",""
87100,10,"",7/5/14,Albuquerque,0,"",""
04123,20,"",5/7/14,Alfonso Cavite ,0,44.4081,-70.4707
16601,25,"",6/22/14,Altoona,0,40.5209,-78.4089
01913,100,"",5/6/14,Amesbury,0,42.8559,-70.9367
01913,10,"",7/4/14,Amesbury,0,42.8559,-70.9367
14336,20,"",7/2/14,Amherst,0,"",""
"",10,"",7/4/14,Amsterdam,0,"",""
"",1000,"",6/28/14,Amsterdam ,0,"",""
"",10,"",7/23/14,Amsterdam Binnenstad en Oostelijk Havengebied,0,"",""
"",50,"",7/5/14,Amsterdam Nieuw West,0,"",""
"",25,"",5/5/14,Annandale,0,"",""
"",10,"",7/4/14,Annandale,0,"",""
96319,100,"",5/10/14,AP,0,"",""
96650,100,"",5/10/14,ap,0,"",""
"",25,"",7/3/14,AP,0,"",""
"",25,"",7/4/14,AP,0,"",""
85178,5,"",7/20/14,Apache Junction,0,"",""
09468,2500,"",7/4/14,APO,0,"",""
09180,500,"",7/3/14,APO,0,"",""
"",200,"",5/5/14,APO,0,"",""
"",200,"",6/5/14,APO,0,"",""
09714,100,"",5/10/14,APO,0,"",""
