zip,count,dollars,latitude,longitude
00000,57,4809,,
00001,2,70,,
00003,1,2,,
00006,2,110,,
00012,1,10,,
00014,1,10,,
00020,1,15,,
00032,1,25,,
00044,3,150,,
00047,2,75,,
00092,2,200,,
00100,1,5,,
00101,1,100,,
00112,1,20,,
00115,1,5,,
00120,3,100,,
00200,1,10,,
00201,1,15,,
00353,1,100,,
00460,1,25,,
00604,1,10,,
00624,1,10,,
00627,1,20,,
00667,1,10,,
00727,1,10,,
00736,1,10,,
00745,1,25,,
00765,2,40,,
00773,1,10,,
00780,1,35,,
00791,2,75,,
00802,3,85,,
00820,2,75,,
00824,2,70,,
00831,3,75,,
00840,2,20,,
00841,1,10,,
00907,3,75,,
00913,1,25,,
00917,1,20,,
00918,1,10,,
00921,1,5,,
00926,2,30,,
00949,1,100,,
00966,4,180,,
00971,2,100,,
00981,1,20,,
01001,5,264,42.0702,-72.6227
01002,46,3366,42.3671,-72.4646
01004,1,25,42.3845,-72.5132
01005,3,60,42.4097,-72.1084
01007,4,150,42.2751,-72.411
01010,2,60,42.1165,-72.1885
01013,2,125,42.1596,-72.6082
01020,2,20,42.1764,-72.5761
01022,1,10,42.1934,-72.5544
01024,1,25,,
01026,1,100,42.4633,-72.9202
01027,12,370,42.3683,-72.7688
01030,2,35,42.0718,-72.6751
01035,4,185,42.3606,-72.5715
01036,3,70,42.0648,-72.4318
01037,1,10,42.3479,-72.2253
01038,1,25,42.3844,-72.6167
01039,5,275,42.3818,-72.7032
01040,3,325,42.202,-72.6262
01050,1,10,42.2653,-72.8733
01053,1,10,42.3543,-72.7034
01054,6,385,42.4682,-72.4993
01056,1,50,42.1728,-72.471
01057,1,10,42.101000000000006,-72.3196
01060,34,2414,42.3223,-72.6313
01062,14,720,42.3219,-72.6928
01069,1,50,42.1762,-72.3288
01072,1,10,42.482,-72.4213
01075,2,100,42.2375,-72.5811
01077,2,50,42.0511,-72.7706
01082,4,135,42.2618,-72.2583
01085,11,200,42.1537,-72.7698
01088,1,25,42.3906,-72.6469
01089,1,10,42.1151,-72.6411
01095,2,180,42.1245,-72.4464
01096,2,50,42.4085,-72.778
01098,2,100,42.3843,-72.9314
01103,1,20,42.1029,-72.5887
01104,1,50,42.1288,-72.5778
01106,3,115,42.0507,-72.5676
01108,3,110,42.0853,-72.5584
01115,1,25,42.1029,-72.5916
01118,1,10,42.0929,-72.5274
01129,2,35,42.1223,-72.4876
01170,1,100,,
01179,1,5,,
01180,1,100,,
01195,1,10,42.1029,-72.5921
01201,7,265,42.4531,-73.2471
01202,1,75,42.3929,-73.2285
01212,1,40,,
01230,7,262,42.1959,-73.3606
01238,1,25,42.299,-73.2317
01240,3,40,42.3642,-73.2713
01244,1,100,42.1228,-73.25399999999999
01245,1,10,42.1867,-73.2065
01247,5,126,42.6955,-73.08
01255,1,100,42.1094,-73.1163
01256,2,120,42.577,-73.0233
01257,3,1275,42.1001,-73.3611
01262,1,100,42.301,-73.3223
01267,9,675,42.7089,-73.2036
01277,1,50,,
01293,1,100,,
01301,6,460,42.6013,-72.6236
01330,4,205,42.5232,-72.811
01337,3,125,42.6952,-72.5772
01342,2,30,42.5406,-72.6072
01347,1,20,42.5566,-72.5181
01348,1,25,,
01351,2,150,42.5429,-72.5328
01354,1,10,42.6337,-72.5111
01355,1,0,42.5146,-72.3062
01360,1,50,42.6887,-72.45100000000001
01364,1,10,42.6129,-72.2924
01366,1,50,42.4898,-72.1893
01370,6,600,42.6022,-72.7391
01373,2,20,42.4756,-72.6153
01376,3,210,42.5954,-72.5557
01379,1,10,42.5656,-72.4009
01390,1,100,,
01420,1,5,42.5796,-71.8031
01431,3,70,42.6745,-71.8174
01432,1,100,42.5591,-71.5788
01440,2,100,42.574,-71.9898
01450,13,1530,42.6124,-71.5584
01451,6,195,42.4986,-71.5753
01453,5,1200,42.5274,-71.7563
01460,3,70,42.5401,-71.4877
01462,5,375,42.5884,-71.7266
01463,2,125,42.6689,-71.5934
01464,1,20,42.5734,-71.6483
01468,1,50,42.54600000000001,-72.065
01469,1,25,42.6525,-71.6896
01473,3,150,42.5483,-71.9096
01474,2,150,42.6678,-71.7522
01501,1,5,42.2055,-71.8391
01503,6,260,42.3844,-71.6356
01505,5,260,42.3377,-71.73100000000001
01506,1,50,42.1991,-72.0989
01507,1,10,42.1379,-71.9664
01510,3,535,42.4181,-71.6828
01516,2,100,42.0528,-71.7509
01518,2,110,42.1228,-72.1178
01519,1,100,42.2004,-71.6868
01520,3,300,42.342,-71.8414
01523,3,130,42.451,-71.6868
01527,6,125,42.1968,-71.7644
01531,1,20,42.3198,-72.1306
01532,10,620,42.3182,-71.6464
01534,2,510,42.1494,-71.6564
01536,1,25,42.2297,-71.7037
01540,1,50,42.1128,-71.8687
01541,5,215,42.4508,-71.8762
01542,1,25,42.1997,-71.9069
01545,2,60,42.2848,-71.7205
01560,1,10,42.176,-71.6927
01562,1,10,42.2441,-71.9906
01564,4,260,42.4354,-71.7752
01568,4,190,42.1756,-71.6032
01569,1,10,42.0744,-71.6329
01570,1,50,42.0521,-71.8486
01571,1,20,42.0489,-71.8932
01581,9,255,42.2679,-71.6176
01583,1,100,42.3584,-71.7838
01585,1,5,42.2441,-72.1511
01590,2,110,42.1266,-71.7552
01602,14,1250,42.2703,-71.8417
01603,3,45,42.245,-71.83800000000001
01604,3,110,42.2541,-71.7746
01605,4,145,42.2894,-71.7888
01606,3,23,42.31100000000001,-71.7958
01608,1,25,42.2624,-71.8003
01609,10,680,42.2826,-71.8277
01610,4,95,42.2492,-71.8108
01611,1,10,42.2373,-71.875
01612,2,120,42.3066,-71.9202
01642,1,5,,
01701,24,1980,42.3007,-71.4255
01702,17,2240,42.2822,-71.4339
01709,1,10,,
01710,1,100,,
01718,1,50,42.5198,-71.4293
01719,12,580,42.4884,-71.5178
01720,43,12680,42.4751,-71.4483
01721,3,200,42.2539,-71.4583
01730,7,575,42.4843,-71.2768
01740,6,460,42.4365,-71.6076
01741,21,1964,42.5286,-71.3519
01742,36,7070,42.4567,-71.3747
01745,1,25,42.2934,-71.5028
01746,6,310,42.2026,-71.4361
